dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1195-10S/Short/long,toto_2.0_1b,0.7518133544921874,0.7518133544921874,0.1882043796115451,1.072761435708732,0.0791337155112028,0.2539341306778146,42.91385615947072,0.8670717124276327,0.6336001723550504,0.1375276411981931,0.1470590629578966,Infrastructure,32
ds-1196-10S/Short/short,toto_2.0_1b,0.2254524230957031,0.2254524230957031,0.223278579711914,0.3465891205082326,0.4929585774739583,0.3066750530705545,4.091785236641314,0.4748183053502709,0.4940458581074357,0.2323201449223974,0.1894488115610891,Infrastructure,8
ds-1196-10S/Short/medium,toto_2.0_1b,0.6385428873697917,0.6385428873697917,0.4527845594618055,0.8825673680066488,0.8008803982204861,0.5292528500986486,8.40665845807624,0.799088785661388,0.815701930467712,0.4621980008557812,0.3612201829118281,Infrastructure,8
ds-1196-10S/Short/long,toto_2.0_1b,0.733667466905382,0.733667466905382,0.4864496527777778,0.9406622790989608,0.8310722520616319,0.5414917437372438,15.617423263372103,0.8565439083347578,0.8743515515372117,0.4965629952093005,0.4364034779448182,Infrastructure,8
ds-1197-T/Short/short,toto_2.0_1b,0.4050845146179199,0.4050845146179199,0.2794076919555664,0.5859007308985942,0.7024935404459636,0.3272697592150368,13.115921765405858,0.6364625005590824,0.8100659373171595,0.3556197791366959,0.3354231208073306,Infrastructure,1
ds-1197-T/Short/medium,toto_2.0_1b,0.2376691818237304,0.2376691818237304,0.1698116620381673,0.3536260907047266,0.3624538421630859,0.2034630235638362,6.868175707620537,0.4875132632285305,0.6795704811792385,0.2367094427685924,0.2267982849529132,Infrastructure,1
ds-1197-T/Short/long,toto_2.0_1b,0.3938257288049768,0.3938257288049768,0.3279796741626881,0.6739813489122372,0.7430910463686342,0.3601911373929702,6.92838739797516,0.62755535915565,0.8784033185661002,0.4590805097965509,0.3639186569364911,Infrastructure,1
ds-1198-10S/Short/short,toto_2.0_1b,0.001316639582316,0.001316639582316,0.0020998318990071,0.0094435518127614,0.0009760092244003,0.0011030505486346,0.3454764231294203,0.036285528552249,0.037138287576336,0.002149180790215,0.0021440441062538,Infrastructure,11
ds-1198-10S/Short/medium,toto_2.0_1b,0.0037069732974273,0.0037069732974273,0.004256020748254,0.0190987907906404,0.0017980105467516,0.0021371586124248,0.7590742194692032,0.0608849184727006,0.0624527741256917,0.0043656181059706,0.0043707902407849,Infrastructure,11
ds-1198-10S/Short/long,toto_2.0_1b,0.0045914097024936,0.0045914097024936,0.0051717789004547,0.0221843345814785,0.0021910715584803,0.0026425632735545,0.8843315094621372,0.067759941724397,0.06950482998505,0.0053049575316702,0.0053011748149397,Infrastructure,11
