dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-2248-H/Medium/long,toto_2.0_4m,0.0741311444176568,0.0741311444176568,0.0946797053019205,0.4660346476847601,1.1589539421929254,0.3718315533038728,8.42403594866949,0.2722703517051696,1.4764917777271591,0.5134374915242083,0.4854070913723121,"Infrastructure, Application Usage",1
ds-2249-H/Medium/short,toto_2.0_4m,0.1787093833640769,0.1787093833640769,0.1466997817710593,0.7627308772516067,1.4302438806604456,0.3567413554693691,19.048045310475647,0.4227403261626183,1.856009667810673,0.6440743794290016,0.652919948956571,"Database, Application Usage",1
ds-2249-H/Medium/medium,toto_2.0_4m,0.2182164351145426,0.2182164351145426,0.1282636404037475,0.6274050733039592,0.8847740809122722,0.2854396768464789,15.75782046122412,0.4671364202398937,2.148283948415191,0.5898634914896262,0.6290669542974271,"Database, Application Usage",1
ds-2249-H/Medium/long,toto_2.0_4m,0.8098778618706597,0.8098778618706597,0.2826365576850043,1.7000811706592212,0.9038462320963542,0.3402843616119612,65.10252977150029,0.8999321429255984,2.4770805455671945,0.7779625653014219,0.7773021855590854,"Database, Application Usage",1
ds-2250-H/Medium/short,toto_2.0_4m,2.9005974663628473,2.9005974663628473,0.7290829552544488,2.237821233259707,2.7643935592086226,0.7632186666036105,19.598099224958716,1.7031140497226975,2.8346825034770675,1.2134940095054965,0.9861999136589208,"Database, Application Usage",1
ds-2250-H/Medium/medium,toto_2.0_4m,1.9260154724121097,1.9260154724121097,0.4397839864095052,1.3236236373628223,1.7623634338378906,0.543708665400086,25.235166438498815,1.387809595157819,2.4584684121922944,0.7790658333449715,0.8194116447894726,"Database, Application Usage",1
ds-2250-H/Medium/long,toto_2.0_4m,2.490911865234375,2.490911865234375,0.5952313741048177,2.031415349211576,1.3906475490993924,0.52555788007912,29.0079436538196,1.578262292914069,2.194727799835997,0.8277273365445291,0.7782600352822479,"Database, Application Usage",1
ds-2251-30T/Short/short,toto_2.0_4m,8.536066842475073e-11,8.536066842475073e-11,2.0060688257217407e-06,1.867676202131489e-05,3.64202047314714e-05,3.640883564515458e-05,0.0004639760641361,9.239083743789248e-06,0.000167628190847,3.6396865457178825e-05,4.3805633869672474e-05,"Database, Application Usage",1
ds-2251-30T/Short/medium,toto_2.0_4m,6.269534521171257e-11,6.269534521171257e-11,1.4409578094879786e-06,1.3206829995153371e-05,2.616382165191074e-05,2.6153719291245555e-05,0.0002779703448842,7.91803922771999e-06,0.0001436595686852,2.614376759841414e-05,2.3312368626204305e-05,"Database, Application Usage",1
ds-2251-30T/Short/long,toto_2.0_4m,2.698511202147023e-09,2.698511202147023e-09,2.9223619235886463e-05,0.000240507716354,0.0005302326132853,0.0005305997943185,0.0121236291181271,5.194719628764409e-05,0.0009425076121927,0.0005302207925357,0.0006032101008756,"Database, Application Usage",1
ds-2255-H/Medium/short,toto_2.0_4m,0.2009812672932942,0.2009812672932942,0.2241419474283854,1.1346624940511312,1.515725326538086,0.8906447082340999,9.005364475170932,0.4483093433035879,2.1605834247710685,1.0802303892241945,0.8499648798804835,Application Usage,1
ds-2255-H/Medium/medium,toto_2.0_4m,0.2201693534851074,0.2201693534851074,0.2264118830362955,1.124194567787525,1.706397501627604,0.9943495662191694,10.716687056269596,0.4692220726746637,2.2613702968735128,1.0911701238583378,0.9726814537553322,Application Usage,1
ds-2255-H/Medium/long,toto_2.0_4m,0.1526493072509765,0.1526493072509765,0.1588321791754828,0.7509667704975841,1.179371134440104,0.696432812544881,7.91442721917036,0.3907036053723801,2.072529452935403,0.8425424410950989,0.7601865291855708,Application Usage,1
ds-2257-30T/Short/short,toto_2.0_4m,0.0529161890347798,0.0529161890347798,0.0877629995346069,0.2086748341973331,0.1050204992294311,0.1131709600963634,3.3268651194375227,0.2300351908617024,0.2370470397163491,0.0904381593023881,0.0812704809758364,Application Usage,1
ds-2257-30T/Short/medium,toto_2.0_4m,0.8952089097764757,0.8952089097764757,0.6242457071940104,1.4677497440645215,1.596799045138889,0.7895779574534784,10.57888072762154,0.94615480222661,1.0332191556367742,0.6816882617717762,0.6060243723289813,Application Usage,1
ds-2257-30T/Short/long,toto_2.0_4m,0.3028380076090495,0.3028380076090495,0.3937417772081163,0.9286864895036558,1.4175344679090711,0.578462881346682,12.888758968358802,0.5503071938554406,0.600945989850803,0.4299735578454069,0.392011999999144,Application Usage,1
ds-2261-30T/Short/short,toto_2.0_4m,0.0750422676404317,0.0750422676404317,0.0308841798040601,0.0963219583245333,0.0364605453279283,0.0460089500030044,3.5442679212970605,0.2739384376834177,0.8089660166379994,0.0912038928326511,0.0911834620322093,Application Usage,1
ds-2261-30T/Short/medium,toto_2.0_4m,0.046921428044637,0.046921428044637,0.0204065720240275,0.0612276195955191,0.0254448056221008,0.0317218121485145,2.4418355820704254,0.2166135453858715,0.650940294778612,0.0613233119151367,0.0612788673571026,Application Usage,1
ds-2261-30T/Short/long,toto_2.0_4m,0.0605127917395697,0.0605127917395697,0.0253593815697564,0.0732321053909092,0.0315338929494222,0.0390143581021056,2.925182433568375,0.2459934790590388,0.7334997790419977,0.0756162352319661,0.0755870041822488,Application Usage,1
ds-2262-H/Medium/short,toto_2.0_4m,1.0140297518139988e-05,1.0140297518139988e-05,0.0021465601343097,0.0074842121534263,0.0028894805546962,0.0028890670760699,0.4298762717911782,0.0031843833811493,0.0042864924500176,0.002889480539214,0.0035667168406621,Application Usage,1
ds-2262-H/Medium/medium,toto_2.0_4m,0.0496121486028035,0.0496121486028035,0.0510513424873352,0.1666760534267849,0.0383005619049072,0.0456986376391928,7.185066112472082,0.2227378472617609,0.2861152546704898,0.0655773952949662,0.0725288039449948,Application Usage,1
ds-2262-H/Medium/long,toto_2.0_4m,0.0542529371049669,0.0542529371049669,0.0417619678709242,0.1407979870771882,0.0244847112231784,0.0324526130907062,9.072581845019776,0.2329225989571791,0.2990407095292568,0.0536166458702236,0.067886364772675,Application Usage,1
ds-2263-30T/Short/short,toto_2.0_4m,0.1244158665339152,0.1244158665339152,0.2254961649576823,0.7334291813971026,0.4190829594930013,0.2706119886175026,6.273003623503682,0.3527263337687097,0.3226585236671777,0.2062739657129351,0.1652609778486538,Application Usage,1
ds-2263-30T/Short/medium,toto_2.0_4m,1.0513674418131511,1.0513674418131511,0.759021504720052,2.470507864072587,1.0383722941080729,0.8690216893676219,13.61662891742382,1.0253621027779167,0.9024188824897694,0.6680131206521949,0.4952121070305473,Application Usage,1
ds-2263-30T/Short/long,toto_2.0_4m,1.4387827555338542,1.4387827555338542,0.8716766357421875,2.8341190619926886,1.1316422356499567,0.9069658119232328,15.468209409092,1.1994927075784387,1.055670836473278,0.7671606483093126,0.607803945481646,Application Usage,1
ds-2264-30T/Short/short,toto_2.0_4m,0.5759057786729601,0.5759057786729601,0.3125647650824653,1.024728513139354,0.2996541129218207,0.2313464134966721,24.52605046299037,0.7588845621522157,0.5042889995241886,0.2077034907956577,0.1898215558369836,Application Usage,1
ds-2264-30T/Short/medium,toto_2.0_4m,4.362628682454427,4.362628682454427,1.358382670084635,4.605047707789859,1.2878007253011068,0.8661576588181059,90.3647949783549,2.0886906622222514,1.2951437269001462,0.842298395693591,0.812040707634279,Application Usage,1
ds-2264-30T/Short/long,toto_2.0_4m,5.798457845052083,5.798457845052083,1.7989803738064236,5.887833747575227,1.7079581366644965,1.148926930000364,15.9985338923801,2.407998721978914,1.6001475414368802,1.195446656995674,1.0280685257322224,Application Usage,1
ds-2265-H/Medium/short,toto_2.0_4m,0.4025492138332791,0.4025492138332791,0.2735756768120659,1.060238677492065,0.3006421724955241,0.2797563942882171,16.728952866518327,0.6344676617710938,0.63565900240571,0.2740893701648825,0.2336735203688654,Application Usage,3
ds-2265-H/Medium/medium,toto_2.0_4m,2.138387213812934,2.138387213812934,0.8044782850477431,2.8266150636294607,0.9121877034505208,0.7428809342301455,25.386426004188262,1.4623225409645213,1.4544944095585035,0.800171737379752,0.6736318616573818,Application Usage,3
ds-2265-H/Medium/long,toto_2.0_4m,1.4117702907986112,1.4117702907986112,0.9848775227864583,4.610007889632459,1.3681949191623264,1.3752670651813834,30.09498815499124,1.1881794017734069,1.2346726266004255,1.0234155853262097,0.7535434415722555,Application Usage,3
ds-2267-30T/Short/short,toto_2.0_4m,3.345968025882228,3.345968025882228,0.3178668378972683,1.0538251798775211,0.96033171569409,0.4579072998747792,38.35899778663315,1.829198738760288,4.989861542587521,0.8671072620367342,0.8497169496307424,Application Usage,7
ds-2267-30T/Short/medium,toto_2.0_4m,2.5528558640252976,2.5528558640252976,0.2660172962007068,0.8983035984454735,0.9104123070126487,0.4452199477100322,32.18134082801171,1.597765897753891,5.059670102456588,0.8424011065796181,0.8227644849402044,Application Usage,7
ds-2267-30T/Short/long,toto_2.0_4m,3.164026072668651,3.164026072668651,0.3061817956349206,1.046287732593121,0.91104736328125,0.4540355904989812,38.005193032951325,1.7787709444075848,5.0028975645237574,0.8611542506354669,0.8428024759715347,Application Usage,7
ds-2268-H/Medium/short,toto_2.0_4m,2.8725538188908377,2.8725538188908377,0.3897098359607515,1.1115840033545368,0.1768582402443399,0.2224146669914184,38.87048490837211,1.6948610028231923,3.3173927425685084,0.7627885586902182,0.7577421054318569,Application Usage,7
ds-2268-H/Medium/medium,toto_2.0_4m,2.320840890066964,2.320840890066964,0.3369998750232514,0.9927009574735616,0.1749488103957403,0.2118268058135415,38.49895001473281,1.5234306318526498,3.313589553559343,0.7330030275614534,0.7286669865488167,Application Usage,7
ds-2268-H/Medium/long,toto_2.0_4m,1.657103523375496,1.657103523375496,0.2589672512478299,0.7342615897010771,0.2295808095780629,0.1923866170113639,28.057145442506993,1.2872853309874606,3.345541046198795,0.6730330469984438,0.6684755139210401,Application Usage,7
