dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,eval_metrics/MAAPE[0.5],domain,num_variates
ds-1219-5T/Short/medium,naive,85.7296875,85.7296875,5.923307800292969,8.035542401031188,2.9036109924316404,1.1564910888671875,185.61084717547607,9.259032751859127,1.274787889876864,0.8155237435908712,0.7564906145724468,0.6604575475056966,Infrastructure,1
ds-1219-5T/Short/long,naive,62.84490017361111,62.84490017361111,5.312917751736111,7.328849811063629,3.363968912760417,1.3222986291956018,180.327415918768,7.927477541665515,1.226816091460154,0.8222001205524422,0.7044540277219125,0.7069734361436631,Infrastructure,1
ds-1220-T/Short/short,naive,2.7980435689290366,2.7980435689290366,1.3423505147298178,1.2183436731764803,3.7581771850585937,1.4984455108642578,7.113353003158733,1.6727353553174622,1.7392268943672164,1.3957091953991076,1.0803200372351889,0.8962935129801433,Infrastructure,1
ds-1220-T/Short/medium,naive,2.288593546549479,2.288593546549479,1.2030354817708333,1.0965833670596126,5.082197062174479,1.473827616373698,6.638875406758571,1.5128098183676226,1.7488118730005493,1.3907119775517691,1.0809008835374376,0.9003459294637044,Infrastructure,1
ds-1220-T/Short/long,naive,2.282800066912616,2.282800066912616,1.200479578088831,1.0959230393109345,4.935915798611111,1.4721587004484953,6.508822482609663,1.5108937973638703,1.7645165218782477,1.4019953311152722,1.0898443088129848,0.903782879864728,Infrastructure,1
ds-1221-T/Short/short,naive,1.6460095723470052,1.6460095723470052,1.0294670104980468,0.9354299083022212,6.957419840494792,1.342888641357422,5.4955598411013975,1.282969045747794,1.636528464961329,1.3131665740514564,1.014491803034867,0.8767721811930339,Infrastructure,2
ds-1221-T/Short/medium,naive,1.7077172597249348,1.7077172597249348,1.0444194793701171,0.9464344724561944,9.129695638020833,1.3525774637858072,5.5608776994232105,1.3067965640163486,1.6003663758491606,1.2790466879777551,0.9912607167498668,0.86510009765625,Infrastructure,2
ds-1221-T/Short/long,naive,1.737162498191551,1.737162498191551,1.0540600811993637,0.9546265819542774,8.859143518518518,1.3673914026331018,5.6266879347207786,1.3180146046958474,1.6122266082001249,1.2893511980038777,0.9979213266594976,0.8711921974464699,Infrastructure,2
ds-1222-5T/Short/short,naive,1.3274659699084712,1.3274659699084712,0.5020452312394684,1.120712410003361,3.110777252795649,0.5553094153310738,15.469838030039218,1.1521570942837922,1.276079102562517,0.5560434695097676,0.5000603583264058,0.4334522097718482,Infrastructure,34
ds-1222-5T/Short/medium,naive,1.1186832203584558,1.1186832203584558,0.4857516419653799,1.1023356302675589,2.987369073606005,0.5868569168390012,15.270100437816197,1.0576782215581713,1.2095301402727856,0.5554914903878526,0.5126579955120133,0.439363816205193,Infrastructure,34
ds-1222-5T/Short/long,naive,0.9211341741557734,0.9211341741557734,0.4719853153935185,1.0668062420601974,2.733824380446623,0.5955436623434096,14.7165814205089,0.9597573517070724,1.1307633706425289,0.5560819150578841,0.5279551434360461,0.4424021735430283,Infrastructure,34
ds-1223-T/Short/short,naive,277.505859375,277.505859375,13.07176310221354,9.925598935392667,1.2189693450927734,1.95039291381836,105.02966083314897,16.658507117235924,1.3461054738236238,1.0562754357627544,0.881576945779735,0.8489084243774414,Infrastructure,1
ds-1223-T/Short/medium,naive,140.1244140625,140.1244140625,7.094532775878906,6.327085725716781,2.4364601135253907,1.5739391326904295,139.76912716302635,11.83741585239363,1.7694852220752686,1.0605077206870193,0.934751016383843,0.8021224975585938,Infrastructure,1
ds-1223-T/Short/long,naive,124.60690104166666,124.60690104166666,6.368189380787037,5.837070297885207,3.959235297309028,1.4741945619936343,98.25905813827208,11.162746124572871,1.849705842929105,1.0552311210044274,0.8902444278486494,0.7832105848524306,Infrastructure,1
ds-1224-5T/Short/short,naive,0.565601666768392,0.565601666768392,0.5253623962402344,1.041097085814518,9.469553629557293,1.1831677754720051,8.042621609372649,0.752064935207321,2.032010264101152,1.4194808607033969,1.189066313423561,0.8669603347778321,Infrastructure,1
ds-1224-5T/Short/medium,naive,0.584538459777832,0.584538459777832,0.5384025573730469,1.071509723796768,6.098304748535156,1.1232513427734374,9.096791667443746,0.7645511492227528,1.539992445319175,1.0844740364826084,0.9049099256718433,0.7830347696940104,Infrastructure,1
